schema_status,uav,bomb_slot,used,theta_rad,theta_deg,speed_m_s,release_time_s,release_x_m,release_y_m,release_z_m,fuse_delay_s,explosion_time_s,explosion_x_m,explosion_y_m,explosion_z_m,M1_deletion_loss_s,M2_deletion_loss_s,M3_deletion_loss_s,J_sum_deletion_loss_s
provisional-schema; official result3.xlsx unavailable,FY1,1,True,3.1294013468246114,179.30148957560579,136.94294795970202,0.815996802195909,17688.263296495046,1.362283921188147,1800.0,4.013282097993001,4.82927890018891,17138.713456767222,8.062346542236869,1721.0784773294515,4.465017312174373,0.0,0.0,4.465017312174373
provisional-schema; official result3.xlsx unavailable,FY1,2,False,3.1294013468246114,179.30148957560579,136.94294795970202,1.815996802195909,17551.33052518484,3.0317560533363834,1800.0,3.9637354054251857,5.779732207621095,17008.56525137958,9.649101851903023,1723.0151280153163,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY1,3,False,3.1294013468246114,179.30148957560579,136.94294795970202,2.815996802195909,17414.397753874633,4.701228185484619,1800.0,3.9637354054251857,6.779732207621095,16871.632480069373,11.318573984051259,1723.0151280153163,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY2,1,True,5.064427753079513,290.1703359003787,112.12636256955402,7.471101988163637,12288.851813728716,613.6677107977138,1400.0,5.477371275031839,12.948473263195476,12500.620924867218,37.17526024219933,1252.9921791857348,3.4735205232538586,0.0,0.0,3.4735205232538586
provisional-schema; official result3.xlsx unavailable,FY2,2,False,5.064427753079513,290.1703359003787,112.12636256955402,8.471101988163637,12327.514358315357,508.4178707542957,1400.0,5.477371275031839,13.948473263195476,12539.28346945386,-68.07457980121876,1252.9921791857348,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY2,3,False,5.064427753079513,290.1703359003787,112.12636256955402,9.471101988163637,12366.176902901998,403.1680307108776,1400.0,5.477371275031839,14.948473263195476,12577.9460140405,-173.32441984463685,1252.9921791857348,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY3,1,True,2.112082090067693,121.01338974604862,138.34057047223354,19.098229798330642,4638.7092917485625,-735.630622161751,700.0,6.94656445157352,26.044794249904164,4143.56949386932,87.9843406604964,463.5516873686619,2.3110751747569083,0.0,0.0,2.3110751747569083
provisional-schema; official result3.xlsx unavailable,FY3,2,False,2.112082090067693,121.01338974604862,138.34057047223354,20.09824151708064,4567.430085494802,-617.0648735385557,700.0,6.834694932031309,26.93293644911195,4080.2641647286455,193.28635138548088,471.1060314117211,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY3,3,False,2.112082090067693,121.01338974604862,138.34057047223354,21.098253235830644,4496.150879241042,-498.4991249153595,700.0,6.834694932031309,27.93294816786195,4008.9849584748845,311.85210000867664,471.1060314117211,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY4,1,True,5.302857917472039,303.83137802868083,118.6283022021396,6.37567572021409,11421.090306953209,1371.72739025035,1800.0,9.749407375453858,16.125083095667947,12065.003379778671,411.0001067298515,1334.250373554485,0.0,1.9128520514176692,0.0,1.9128520514176692
provisional-schema; official result3.xlsx unavailable,FY4,2,False,5.302857917472039,303.83137802868083,118.6283022021396,7.37567572021409,11487.13668782828,1273.1852690195428,1800.0,9.749407375453858,17.125083095667947,12131.049760653743,312.4579854990443,1334.250373554485,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY4,3,False,5.302857917472039,303.83137802868083,118.6283022021396,8.37567572021409,11553.183068703353,1174.6431477887359,1800.0,10.23687774422655,18.61255346444064,12229.291795170087,165.8795000922123,1286.5110368438197,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY5,1,True,2.3654096932478654,135.5279922424374,114.52222435611584,15.757615975352385,11712.252411915912,-735.7700686605065,1300.0,4.5849746270913645,20.34259060244375,11337.558040210257,-367.9186013403423,1196.9922375777492,0.0,0.0,1.741133730745993,1.741133730745993
provisional-schema; official result3.xlsx unavailable,FY5,2,False,2.3654096932478654,135.5279922424374,114.52222435611584,16.757615975352387,11630.530177404145,-655.5402970175774,1300.0,4.5849746270913645,21.34259060244375,11255.83580569849,-287.6888296974132,1196.9922375777492,0.0,0.0,0.0,0.0
provisional-schema; official result3.xlsx unavailable,FY5,3,False,2.3654096932478654,135.5279922424374,114.52222435611584,17.757615975352387,11548.807942892381,-575.3105253746483,1300.0,4.5849746270913645,22.34259060244375,11174.113571186726,-207.4590580544841,1196.9922375777492,0.0,0.0,0.0,0.0
